,State,County,Democratic,Republican,FIPS,Total Population,Citizen Voting-Age Population,"Percent White, not Hispanic or Latino","Percent Black, not Hispanic or Latino",Percent Hispanic or Latino,Percent Foreign Born,Percent Female,Percent Age 29 and Under,Percent Age 65 and Older,Median Household Income,Percent Unemployed,Percent Less than High School Degree,Percent Less than Bachelor's Degree,Percent Rural,Party,Percent Age between 30 and 64 inclusive,Percent Male,Percent more than High School Degree,Percent more than Bachelor's Degree,Citizen Voting-Age Population voted
88,IN,dubois,5264.0,11204.0,18037,42345,,91.59995277,0.417995041,6.685559098,4.531821938999999,49.97520368,37.80139332,15.95938127,55154,2.88726755,12.02296758,80.27098943,49.24681897,Rep,46.239225409999996,50.02479632,87.97703242,19.72901057,16468.0
89,IN,fayette,2295.0,4704.0,18041,23608,18255.0,95.94205354,2.4483226030000003,0.978481871,0.6735005079999999,50.67773636,35.57692308,18.46407997,40851,9.156879595,18.752662,89.32156982,36.78378712,Rep,45.95899695,49.32226364,81.247338,10.678430180000007,6999.0
90,IN,floyd,14070.0,16588.0,18043,76290,,88.49259405,5.110761568,2.9754882680000003,2.50753703,51.6096474,37.8542404,14.47896186,57494,6.415271862999999,10.63677926,73.07239723,20.32771058,Rep,47.66679774,48.3903526,89.36322074,26.927602769999993,30658.0
91,IN,fountain,1496.0,4060.0,18045,16741,12750.0,95.70515501,0.400215041,2.359476734,1.547099934,49.77002569,35.89988651,18.94152082,45924,7.978789,12.0321549,85.53894027,65.9512761,Rep,45.15859267,50.22997431,87.9678451,14.461059730000002,5556.0
92,IN,franklin,1619.0,5614.0,18047,22887,,97.21239131,0.332066238,1.092323153,1.109800323,49.94538384,36.95984620000001,15.79499279,52128,5.972448019,12.59908487,80.85325772,88.85953134,Rep,47.24516100999999,50.05461616,87.40091513,19.146742279999998,7233.0
93,IN,fulton,2539.0,4154.0,18049,20412,15130.0,92.44562022,0.901430531,4.869684499,2.880658436,50.57319224,36.89006467,17.67097786,46310,5.970149254,15.14026697,86.28024841,64.92129007,Rep,45.43895747,49.42680776,84.85973303,13.719751590000001,6693.0
94,IN,grant,6745.0,12393.0,18053,68269,53625.0,85.5512751,6.8728119639999985,4.060408092,1.548286924,52.06462670000001,39.6563594,17.65515827,40272,8.08988764,13.49470905,83.27479362,28.91337549,Rep,42.68848233,47.93537329999999,86.50529095,16.725206380000003,19138.0
95,IN,greene,3313.0,6949.0,18055,32633,,96.91723102,0.288051972,1.241074985,0.530138204,50.30490608,35.48248705,18.14420985,45153,6.19563052,14.39550305,85.65280401,74.84396201,Rep,46.3733031,49.69509392,85.60449695,14.347195990000003,10262.0
96,IN,hamilton,61337.0,72325.0,18057,303042,206530.0,84.83147551,3.5377934410000003,3.745355429,7.48576105,51.14406584,40.92832017,10.51372417,87782,3.510980895,4.03009245,43.71912347,5.635377628,Rep,48.557955660000005,48.85593416,95.96990755,56.28087653,133662.0
97,IN,hancock,9770.0,19097.0,18059,71955,,93.36668751,2.033215204,2.083246473,1.830310611,51.13612675,37.75693142,14.77312209,68449,4.890815841,5.847772912999999,71.01806746,30.44627296,Rep,47.46994649,48.86387325,94.152227087,28.981932540000003,28867.0
98,IN,harrison,5131.0,9847.0,18061,39370,,95.96647193,0.071120142,1.668783338,1.158242316,50.01778004,35.79121158,16.13411227,52926,6.650334302999999,11.33408603,83.09720654,85.84747485,Rep,48.07467614999999,49.98221996,88.66591397,16.902793459999998,14978.0
99,IN,hendricks,23599.0,36966.0,18063,155817,,86.37953497,5.878691029,3.525289282,4.660595442,50.08118498,39.56371898,12.36642985,73042,5.002108307,6.50233827,65.30884645,17.84692811,Rep,48.06985117000001,49.91881502,93.49766173,34.691153549999996,60565.0
100,IN,howard,11159.0,16736.0,18067,82728,63005.0,86.07605647,6.946862006,3.053379751,2.07547626,51.64877671,36.69011701,17.92017213,45928,7.613242195,11.50875476,80.45119351,21.53543117,Rep,45.389710859999994,48.35122329,88.49124524,19.548806490000004,27895.0
101,IN,huntington,3699.0,8879.0,18069,36696,,95.41911925,0.768476128,2.05471986,1.577828646,50.84205363,38.37747983,15.92544147,47042,5.157878201,9.852870236000001,81.13442676,50.95625471,Rep,45.6970787,49.15794637,90.147129764,18.865573240000003,12578.0
102,IN,jackson,4198.0,9431.0,18071,43637,31575.0,89.90077228,0.531658913,6.134702202000001,5.048468043,50.331141,38.18319316,15.25540253,48546,5.569018548,12.94861821,83.83114028,43.7323013,Rep,46.56140431,49.668859,87.05138179,16.16885972,13629.0
103,IN,jasper,3278.0,6987.0,18073,33461,,91.80239682,0.878634829,5.905382385,2.459579809,50.52150264,38.9289023,15.60025104,55485,6.3849418710000005,13.00117128,83.45796919,68.03871199,Rep,45.47084666000001,49.47849736,86.99882872,16.54203081,10265.0
104,IN,jay,1933.0,3990.0,18075,21196,15535.0,95.22079638,0.367993961,2.967541045,1.226646537,50.92470277,39.76693716,16.61634271,42322,7.559331966,15.87221823,89.10983489,55.65331953,Rep,43.616720130000004,49.07529723,84.12778177,10.890165109999998,5923.0
105,IN,jefferson,4313.0,6345.0,18077,32482,25225.0,93.27627609,1.930299858,2.462902531,1.514685056,52.45674527,37.76553168,16.03965273,47065,7.362161463,13.10699495,82.95635553,45.0968299,Rep,46.19481559,47.54325473,86.89300505,17.043644470000004,10658.0
106,IN,johnson,17479.0,32540.0,18081,147567,106800.0,90.78045905,2.01806637,3.334078757,4.322782194,50.85147763,40.27933074,13.72800152,63023,5.452840997999999,8.498984553,70.49869736,13.89648703,Rep,45.99266774,49.14852237,91.501015447,29.501302640000006,50019.0
107,IN,lagrange,2217.0,5183.0,18087,38395,24985.0,94.45240266,0.223987498,3.896340669,1.62260711,49.31892173,48.66779529,12.63185311,53947,4.074096134,35.71558714,88.80386262,91.61549235,Rep,38.7003516,50.68107827,64.28441286,11.196137379999996,7400.0
108,IN,lake,104390.0,54564.0,18089,489698,,54.60263264,24.24412597,18.03989398,6.718834874,51.6220201,39.49189092,14.59511781,50905,9.582728363,12.41177139,79.11213675,3.96810516,Demo,45.91299127,48.3779799,87.58822861,20.887863249999995,158954.0
109,IN,laporte,20014.0,16008.0,18091,110993,,80.15280243,10.85293667,6.078761724,3.114610831,48.30304614,36.99242295,15.712702599999998,48165,8.793116753,12.46642009,82.41256246,35.62758485,Demo,47.29487445,51.69695386,87.53357991,17.587437539999996,36022.0
110,IN,lawrence,4434.0,10274.0,18093,45696,35185.0,96.02153361,0.35014005600000003,1.516544118,1.507790616,50.49019608,35.45605742,18.01032913,46044,5.63057908,11.60549454,85.65662255,58.44713227,Rep,46.53361344999999,49.50980392,88.39450546,14.343377450000006,14708.0
111,IN,madison,18701.0,22841.0,18095,129862,,85.53079423,7.7474549910000015,3.707012059,1.838105065,49.96534783,37.12402396,16.91487887,44795,7.827960554,12.52995931,82.60743548,23.08866875,Rep,45.96109717,50.03465217,87.47004069,17.392564519999993,41542.0
112,IN,marion,197880.0,98385.0,18097,932142,,57.32345501,27.11035443,9.832836627999999,8.680437101,51.83909748,43.45561084,11.30664641,43369,9.01366109,14.344002800000002,70.97896750000002,0.600181759,Demo,45.23774275,48.16090252,85.6559972,29.021032499999976,296265.0
113,IN,marshall,5619.0,8747.0,18099,46833,,88.35436551,0.604274764,9.313945295,4.490423419,50.32989559,39.26077766,16.24922597,49725,7.6566125289999984,15.52728685,81.46889364,63.3461563,Rep,44.48999637,49.67010441,84.47271315,18.531106359999995,14366.0
114,IN,martin,1127.0,2997.0,18101,10218,7875.0,97.19123116,0.411039342,0.215306322,0.528479154,49.95106674,35.3983167,17.05813271,47457,5.369127517000001,15.61228784,88.62393043,72.28565899,Rep,47.543550589999995,50.04893326,84.38771216,11.376069569999999,4124.0
